,Week,Color,Avg_Return,Volatility,Week_of_Month,Close
101,102,Green,-0.0038384222500000005,0.012144587438420736,2,252.39
102,103,Green,0.0117953364,0.011054721075712143,3,258.98
103,104,Green,0.0031505480000000004,0.006041536065174451,4,266.46
104,105,Red,0.0006058969999999999,0.009524723757099757,1,265.78
105,106,Green,0.004829479,0.008273454874384389,2,270.06
106,107,Green,0.0001715508000000001,0.005652777655673054,3,270.47
107,108,Green,0.0031328258000000004,0.005168348211055228,4,277.37
108,109,Green,0.002771902,0.005189214006102803,1,279.14
109,110,Green,0.0009106816,0.0028393766364910172,2,280.42
110,111,Red,-0.0026351298,0.0050202291628600945,3,274.46
111,112,Green,0.0044502560000000005,0.005894246946057995,4,281.31
112,113,Red,0.0034199168,0.004812076149204432,1,279.25
113,114,Green,-0.0027966646,0.009264720553299783,2,282.48
114,115,Green,0.0045763390000000004,0.00413383194584555,3,288.57
115,116,Green,0.0007222455999999998,0.003446019587485341,4,290.16
116,117,Green,0.0014785697777777778,0.0037077398180097015,1,293.41
117,118,Green,-0.0005880798000000001,0.00409461228512915,2,294.03
118,119,Red,-0.0030885082000000003,0.008426174709812998,3,288.1
119,120,Red,0.0008111490000000003,0.013079351279886124,4,285.84
120,121,Red,-0.0038703416000000004,0.007079910681919444,1,282.78
121,122,Red,-0.00275290175,0.005334360626688328,2,275.27
122,123,Green,0.0041706222,0.011743824333708273,3,287.65
123,124,Green,0.0033429128000000002,0.004135765647192762,4,289.26
124,125,Green,0.004311664799999999,0.004784116627471842,1,294.0
125,126,Red,-0.0019875736,0.004327274952147071,2,293.0
126,127,Green,0.0062060425,0.002527367099289446,3,298.46
127,128,Green,0.0003472142000000001,0.0034861930532469024,4,300.65
128,129,Red,-0.0003119992000000001,0.004237434517833705,1,297.17
129,130,Green,0.0007947971999999996,0.005094464262606831,2,302.01
130,131,Red,-0.0034447444,0.0061712027250279055,3,292.62
131,132,Red,-0.0006737873999999998,0.017554314089449668,4,291.62
132,133,Red,-0.0060718622,0.015055251896456855,1,288.85
133,134,Red,0.005393601,0.00827507623398632,2,284.85
134,135,Green,0.0002522994000000004,0.01421235399602178,3,292.45
135,136,Green,0.004478692999999999,0.007877909918247446,4,298.05
136,137,Green,0.0023230740000000005,0.0027013143914991463,1,301.09
137,138,Red,-0.0001378034000000001,0.0018253956228660789,2,298.28
138,139,Red,-0.0017949448,0.004629595518587143,3,295.4
139,140,Red,-0.0044231618,0.009729783916309128,4,294.35
140,141,Green,0.0019904826000000002,0.010572150077558616,1,296.28
141,142,Green,0.0040993108,0.005176496733064416,2,297.97
142,143,Green,0.0007357867999999999,0.004104164752920496,3,301.6
143,144,Green,0.0019677239999999997,0.0030254229141720335,4,306.14
144,145,Green,0.0031840408000000007,0.003603184186361136,1,308.94
145,146,Green,0.0008887308,0.001577878848465547,2,311.79
146,147,Red,0.00047160900000000044,0.003695928129924336,3,310.96
147,148,Green,0.00417431375,0.0022536687424975946,4,314.31
148,149,Green,-0.0021883759999999997,0.005445288450962023,1,314.87
149,150,Green,0.0032665736000000003,0.004970955708444991,2,317.32
150,151,Green,0.002369942,0.002695479495514518,3,320.73
151,152,Green,0.0028165565,0.0021308545055884857,4,322.86
152,153,Red,0.0015050530000000001,0.00535616138295454,1,322.41
153,154,Green,0.0011083234000000004,0.005441427474664551,2,325.71
154,155,Green,0.002610614,0.004430245473472142,3,331.95
155,156,Red,0.0006054134999999999,0.0018292155951241096,4,328.77
156,157,Red,-0.0024047798,0.009253491088438577,1,321.73
157,158,Green,0.003884961399999999,0.011716641992311526,2,332.2
158,159,Green,0.0018488942,0.004747534869452415,3,337.6
159,160,Red,-7.545175000000007e-05,0.003497277697361362,4,333.48
160,161,Red,-0.024471131200000003,0.015235574463430206,1,296.26
161,162,Green,0.0038527669999999987,0.03319779690385722,2,297.46
162,163,Red,-0.037461282,0.05208324210603495,3,269.32
163,164,Red,-0.003690683400000003,0.07028049840605714,4,228.8
164,165,Green,0.0190601904,0.05007352305976272,1,253.42
165,166,Red,-0.0068289319999999985,0.02996255336396047,2,248.19
166,167,Green,0.011828454777777777,0.02634891010721073,3,286.64
167,168,Red,0.00023138740000000014,0.022156137664337976,4,282.97
168,169,Red,0.008125275000000001,0.013154646874149635,1,282.79
169,170,Green,-0.0018375441999999992,0.013917365248591062,2,292.44
170,171,Red,-0.0017797086,0.01490810561098879,3,286.28
171,172,Green,0.0069738764,0.015149294332127033,4,295.44
172,173,Green,0.0068134517499999995,0.006973041240826465,1,304.32
173,174,Green,0.00549184,0.0052528562109360275,2,319.34
174,175,Red,-0.006593719199999999,0.0282691701709994,3,304.21
175,176,Green,0.0073580404,0.008339525396553202,4,308.64
176,177,Red,-0.0018968198000000002,0.012981913240056773,1,300.05
177,178,Green,0.0025940616666666663,0.012466339210098288,2,317.59
178,179,Green,0.0040809032,0.008475364715835147,3,321.72
179,180,Red,0.0013736614000000001,0.006979570764857467,4,320.88
180,181,Green,0.0006481529999999996,0.007704109946923733,1,326.52
181,182,Green,0.006322425999999999,0.0013479101280371773,2,334.57
182,183,Green,0.0015174004000000003,0.007262700833364943,3,336.84
183,184,Green,0.0008632724000000001,0.0027590782975672585,4,339.48
184,185,Green,0.005878400399999999,0.003464808469997705,1,350.58
185,186,Red,-0.0015389718000000004,0.017465775946113076,2,342.57
186,187,Red,-0.008275908,0.017540511375465497,3,334.06
187,188,Red,0.0011937014000000007,0.00755324720182785,4,330.65
188,189,Red,-0.006596688199999999,0.011725739233868803,1,328.73
189,190,Green,0.0082664626,0.008049000360221251,2,333.84
190,191,Green,0.0040583751999999996,0.013460144090175668,3,346.85
191,192,Green,0.0021945028,0.008922731581069855,4,347.29
192,193,Red,-0.0016419683999999996,0.007317868292483395,1,345.78
193,194,Red,-0.008509503600000001,0.015964664722806835,2,326.54
194,195,Green,0.0120583204,0.011822621278168214,3,350.16
195,196,Green,0.0017196474,0.007675958550475911,4,358.1
196,197,Red,0.0026248542,0.010045228850038498,1,355.33
197,198,Green,0.0034296517499999997,0.008628528552693077,2,363.67
198,199,Green,0.0022252493999999996,0.005034269750099397,3,369.85
199,200,Red,3.860700000000005e-05,0.005789594617494285,4,366.3
200,201,Green,0.003006184,0.006208712538821137,1,369.18
201,202,Green,0.00018175945454545456,0.0059177876672000165,2,373.55
202,203,Red,-0.00032819299999999995,0.004402776621332725,3,375.7
203,204,Green,0.00382741875,0.007883189003849342,4,382.88
204,205,Red,-0.0033993485999999997,0.011349323304605337,1,370.07
205,206,Green,0.004583579999999999,0.01343535705661991,2,387.71
206,207,Green,0.0023343044,0.002954523985961028,3,392.64
207,208,Red,1.1815750000000128e-05,0.0032908164038436094,4,390.03
208,209,Red,-0.0042639436,0.011617924481545448,1,380.36
209,210,Green,-0.002867228,0.013874500958103294,2,383.63
210,211,Green,0.008811808400000001,0.008004749558699049,3,394.06
211,212,Red,-0.0010181166,0.007170850426513681,4,389.48
212,213,Green,-0.0002388196000000002,0.006104733654205385,1,395.98
213,214,Green,0.0052750915555555555,0.00649632325459478,2,411.49
214,215,Green,0.0035851684000000003,0.004991355056969183,3,417.26
215,216,Red,-0.0017126624000000003,0.007031318382525616,4,416.74
216,217,Green,0.0037599771999999995,0.004288831945660888,1,417.3
217,218,Green,-0.0004569466000000001,0.00545344461738115,2,422.12
218,219,Red,-0.004156356200000001,0.012165205313225047,3,416.58
219,220,Red,0.0024662705999999998,0.009040865196587783,4,414.94
220,221,Green,0.001933255,0.004359814771235218,1,420.04
221,222,Green,-0.0003076762500000001,0.0022272468196639517,2,422.6
222,223,Green,0.0023090422,0.004044879059415319,3,424.31
223,224,Red,-0.0007715622000000001,0.0028077299807493885,4,414.92
224,225,Green,0.002176446200000001,0.009255112761965667,1,426.61
225,226,Green,0.0024968648000000004,0.001852627444004153,2,433.72
226,227,Green,0.00030205450000000056,0.005921482523129344,3,435.52
227,228,Red,0.0017848912,0.005222334333072229,4,431.34
228,229,Green,0.00038183699999999945,0.010527948586744598,1,439.94
229,230,Red,0.0023845274,0.004931142755221211,2,438.51
230,231,Green,0.0005189884000000001,0.005605820615882409,3,442.49
231,232,Green,0.0015129514,0.0013154031995052469,4,445.92
